userid,itemid,rating
196,242,3
186,302,5
22,377,4
244,51,2
166,346,2
298,474,3
115,265,5
253,465,3
305,451,3
6,86,5
62,257,1
286,1014,5
200,222,5
210,40,4
224,29,3
303,785,5
122,387,5
194,274,2
291,1042,2
234,1184,1
119,392,2
167,486,3
299,144,3
291,118,2
308,1,4
95,546,3
38,95,1
102,768,1
63,277,5
160,234,5
50,246,1
301,98,2
225,193,1
290,88,4
97,194,3
157,274,1
181,1081,2
278,603,5
276,796,5
7,32,3
10,16,1
284,304,5
201,979,2
276,564,1
287,327,1
246,201,2
242,1137,5
249,241,2
99,4,4
178,332,5
251,100,2
81,432,3
260,322,1
25,181,2
59,196,4
72,679,1
87,384,1
290,143,1
42,423,1
292,515,3
115,20,3
20,288,4
201,219,5
13,526,1
246,919,3
138,26,1
167,232,3
60,427,3
57,304,2
223,274,5
189,512,2
243,15,4
92,1049,1
246,416,2
194,165,3
241,690,5
178,248,5
254,1444,5
293,5,3
127,229,1
225,237,1
299,229,1
225,480,1
276,54,2
291,144,2
222,366,4
267,518,5
42,403,3
11,111,1
95,625,1
8,338,4
162,25,5
87,1016,5
279,154,1
145,275,2
119,1153,1
62,498,3
62,382,1
28,209,2
135,23,5
32,294,3
90,382,4
286,208,1
293,685,2
216,144,3
166,328,5
250,496,4
271,132,3
160,174,2
265,118,1
198,498,5
42,96,2
168,151,4
110,307,2
58,144,4
90,648,2
271,346,2
62,21,4
279,832,3
237,514,5
94,789,5
128,485,2
298,317,4
44,195,3
264,200,2
194,385,3
72,195,4
222,750,2
250,264,4
41,265,3
224,245,1
82,135,3
262,1147,1
293,471,5
216,658,2
250,140,4
59,23,4
286,379,5
244,815,2
7,479,1
174,368,4
87,274,4
194,1211,4
82,1134,4
13,836,1
13,272,1
244,756,1
305,427,2
95,787,3
43,14,2
299,955,3
57,419,2
84,405,4
269,504,4
299,111,4
194,466,5
160,135,5
99,268,3
10,486,1
259,117,1
85,427,2
303,919,3
213,273,1
121,514,2
90,98,1
49,559,2
42,794,1
155,323,4
68,117,2
172,177,1
19,4,5
268,231,3
5,2,4
305,117,4
44,294,5
43,137,4
279,1336,3
80,466,5
254,164,4
298,281,3
279,1240,1
66,298,3
18,443,3
268,1035,2
99,79,2
13,98,1
26,258,1
7,455,4
222,755,2
200,673,1
119,328,4
213,172,4
276,322,2
94,1217,4
130,379,5
38,328,1
160,719,4
293,1267,3
26,930,2
130,216,2
92,1079,5
256,452,2
1,61,5
72,48,2
56,755,4
13,360,5
15,405,5
92,77,4
207,476,1
292,174,2
232,483,4
251,748,3
224,26,3
181,220,2
259,255,2
305,471,4
52,280,3
161,202,2
148,408,2
125,235,5
97,228,4
58,1098,3
83,234,2
90,347,5
272,178,5
194,181,3
125,478,3
110,688,4
299,14,1
151,10,1
269,127,2
6,14,2
54,106,4
303,69,1
16,944,5
301,790,4
276,1091,5
305,214,2
194,1028,3
91,323,5
87,554,1
294,109,5
286,171,5
200,318,1
229,328,3
178,568,1
303,842,4
62,65,5
207,591,5
92,172,1
301,401,2
36,339,1
70,746,2
63,242,1
28,201,3
279,68,3
250,7,5
14,98,2
299,1018,3
194,54,5
303,815,2
119,237,5
295,218,1
268,930,3
268,2,3
66,258,1
233,202,1
83,623,4
214,334,1
192,476,5
100,344,1
268,145,1
301,56,5
307,89,1
234,141,5
83,576,4
181,264,5
297,133,3
38,153,1
7,382,5
264,813,4
181,872,3
201,146,3
85,507,2
269,367,2
59,468,3
286,143,1
193,96,4
113,595,4
292,11,1
130,1014,2
275,98,4
189,520,5
219,82,2
218,209,5
123,427,1
119,222,1
158,177,5
222,118,2
302,322,4
279,501,5
301,79,2
181,3,1
201,695,2
13,198,3
1,189,5
145,237,3
23,385,2
201,767,1
296,705,4
42,546,3
33,872,4
301,554,2
