userid,itemid,rating
22,377,1
305,451,3
210,40,3
224,29,3
303,785,3
122,387,5
194,274,2
291,1042,4
234,1184,2
291,118,2
308,1,4
63,277,4
160,234,5
301,98,4
225,193,4
290,88,4
278,603,5
276,564,3
242,1137,5
25,181,5
201,219,4
138,26,5
57,304,5
223,274,4
189,512,4
246,416,3
194,165,4
254,1444,3
293,5,3
299,229,3
225,480,5
276,54,3
267,518,5
42,403,3
95,625,4
162,25,4
119,1153,5
62,382,3
28,209,4
286,208,4
293,685,3
216,144,4
250,496,4
160,174,5
42,96,5
168,151,5
62,21,3
279,832,3
237,514,4
44,195,5
264,200,5
194,385,2
72,195,5
222,750,5
250,264,3
224,245,3
262,1147,4
216,658,3
250,140,3
174,368,1
87,274,4
244,756,2
305,427,5
299,955,4
57,419,3
84,405,3
269,504,4
299,111,3
160,135,4
10,486,4
213,273,5
49,559,2
172,177,4
268,231,4
305,117,2
44,294,4
254,164,4
298,281,3
279,1240,1
66,298,4
99,79,4
160,719,3
26,930,2
92,1079,3
256,452,4
56,755,3
92,77,3
207,476,2
292,174,5
232,483,5
305,471,4
161,202,5
148,408,5
125,235,2
97,228,5
83,234,4
299,14,4
151,10,5
269,127,4
286,171,4
200,318,5
207,591,3
301,401,4
70,746,3
279,68,4
299,1018,3
194,54,3
303,815,3
295,218,5
233,202,5
214,334,3
100,344,4
268,145,1
307,89,5
234,141,3
297,133,4
181,872,1
85,507,4
292,11,5
130,1014,3
275,98,4
189,520,5
218,209,5
119,222,5
158,177,4
222,118,4
302,322,2
1,189,3
145,237,5
33,872,3
301,554,3
16,64,5
95,135,3
77,484,5
296,508,5
222,77,4
187,64,5
101,829,3
184,218,3
128,204,4
181,1295,1
1,160,4
184,321,5
54,595,3
128,508,4
23,323,2
301,191,3
303,134,5
104,984,1
63,1067,3
267,410,4
240,879,3
90,1086,4
92,229,3
308,649,4
144,89,3
200,96,5
61,678,3
142,169,5
275,597,3
222,151,3
305,425,4
94,1224,3
10,175,3
191,286,4
194,66,3
296,20,5
134,286,3
180,462,5
38,758,1
7,163,4
234,1451,3
275,405,2
102,823,3
244,186,3
279,1181,4
83,78,2
109,631,3
249,188,4
268,436,3
213,173,5
160,460,2
5,17,4
125,163,5
114,505,3
23,196,2
250,238,4
119,407,3
287,1,5
216,531,4
92,587,3
13,892,3
269,217,2
137,144,5
303,404,4
187,210,4
222,278,2
214,568,4
303,252,3
72,1110,3
115,1067,4
7,430,3
73,480,4
269,246,5
290,50,5
189,526,4
299,303,3
264,294,3
184,187,4
235,185,4
246,94,2
63,762,3
11,732,3
303,200,4
72,54,3
164,406,2
117,150,4
224,77,4
193,869,3
281,338,2
128,371,1
254,229,4
64,381,4
234,187,4
21,370,1
293,249,3
264,721,5
10,611,5
221,943,4
109,8,3
198,58,3
234,448,3
193,941,4
128,603,5
244,265,4
305,71,3
119,382,5
21,222,2
231,181,4
280,508,3
288,132,3
130,642,4
56,121,5
82,508,2
276,40,3
181,1015,1
152,301,3
138,484,4
307,94,3
239,1099,5
295,961,5
271,1028,2
294,931,3
298,181,4
282,325,1
78,323,1
118,200,5
283,1114,5
171,292,4
10,100,5
245,181,4
107,333,3
226,242,5
280,631,5
56,71,4
42,274,5
15,749,1
150,293,4
95,1217,3
234,1462,3
97,222,5
117,268,5
264,655,4
101,304,3
256,127,4
92,794,3
181,762,2
292,661,5
18,86,4
5,439,1
90,1198,5
5,225,2
8,22,5
222,173,5
72,866,4
1,171,5
308,295,3
165,216,4
200,11,5
208,216,5
279,586,4
49,302,4
286,153,5
205,304,3
94,1220,3
7,492,5
268,217,2
16,55,5
308,187,5
192,948,3
122,509,4
85,588,3
181,870,2
263,568,4
201,1100,4
93,820,3
293,423,3
82,597,3
276,181,5
83,660,4
126,294,3
125,80,4
13,780,1
42,44,3
77,518,4
268,21,3
29,245,3
156,661,4
168,866,5
37,288,4
77,172,3
90,506,5
186,566,5
44,660,5
118,774,5
7,661,5
62,68,1
77,474,5
56,1047,4
286,99,4
181,1288,1
221,1010,3
207,318,5
87,82,5
306,287,4
194,172,3
90,22,4
286,357,4
14,269,4
21,440,1
65,806,4
37,540,2
1,265,4
270,25,5
286,746,4
216,55,5
62,665,2
194,23,4
268,955,3
207,845,3
305,654,4
47,324,3
191,751,3
59,92,5
10,461,3
194,152,3
95,233,4
79,50,4
222,448,3
297,57,5
42,625,3
109,475,1
244,310,3
36,748,4
102,515,1
21,447,5
18,408,5
83,215,4
89,216,5
305,512,4
279,1428,3
221,48,5
190,977,2
11,227,3
181,930,1
109,566,4
213,133,3
218,208,3
275,186,3
68,742,1
268,583,4
160,462,4
224,178,4
5,110,1
292,9,4
7,543,3
1,155,2
222,53,5
24,64,5
196,393,4
56,91,4
256,761,4
226,56,4
279,741,5
16,8,5
180,202,3
288,305,4
44,644,3
313,117,4
148,1,4
197,347,4
279,982,3
239,491,5
297,89,4
73,206,3
197,511,5
1,117,3
224,583,1
60,162,4
198,258,4
239,513,5
85,642,4
110,38,3
184,522,3
13,858,1
296,228,4
279,725,4
239,234,3
13,72,4
62,182,5
198,234,3
65,125,4
283,432,5
275,418,3
195,751,4
269,252,1
7,623,3
239,9,5
94,860,2
275,265,4
135,1046,3
311,9,4
26,125,4
151,13,3
271,65,3
234,241,2
75,240,1
207,68,2
2,50,5
313,566,4
145,974,1
181,619,3
185,216,4
57,79,5
230,963,5
291,418,4
84,1033,4
181,334,1
308,59,4
297,234,3
8,50,5
91,683,3
83,210,5
62,302,3
207,554,2
279,168,5
62,59,4
83,97,4
63,100,5
297,233,2
85,25,2
42,98,4
303,393,4
104,299,3
293,708,3
248,589,4
18,950,3
200,892,4
201,148,1
196,381,4
128,182,4
190,974,2
308,436,4
59,235,1
285,269,4
181,14,1
1,47,4
214,117,4
184,602,4
25,257,4
38,573,1
313,436,4
22,241,3
262,617,3
130,569,3
66,181,5
21,948,1
181,1332,1
262,174,3
222,22,5
151,703,4
314,28,5
13,147,3
303,418,4
270,558,5
125,318,5
138,523,5
234,147,3
136,89,4
145,355,3
280,845,3
178,199,4
10,488,5
23,258,5
308,174,4
118,654,5
234,98,4
194,239,3
122,378,4
262,64,5
130,307,4
256,487,5
244,53,3
122,510,4
222,106,2
37,403,5
303,1098,4
165,372,5
3,335,1
56,869,3
19,435,5
194,191,4
158,24,4
56,447,4
262,223,3
181,1334,1
214,137,4
58,173,5
134,879,4
298,625,4
181,1327,1
145,1248,3
248,257,3
312,133,5
151,12,5
305,483,5
214,213,4
233,208,4
104,287,2
312,153,2
94,651,5
276,1081,3
296,429,5
10,285,5
181,328,3
253,746,3
234,228,3
66,1,3
5,1,4
276,357,5
62,433,5
239,475,5
130,234,5
208,197,5
279,1162,3
3,245,1
162,1019,4
239,430,3
172,580,4
54,676,5
44,507,3
18,729,3
207,25,4
58,709,5
303,693,4
92,241,3
177,321,2
85,282,3
295,72,4
277,255,4
1,253,5
18,182,4
87,177,5
125,134,5
288,272,5
207,1350,2
274,748,5
59,77,4
184,277,3
59,418,2
104,300,3
298,1346,3
252,277,4
303,411,4
210,527,5
234,648,3
312,573,5
308,215,3
75,546,3
117,15,5
85,187,5
144,153,5
210,274,5
94,471,4
125,657,3
65,1142,4
1,113,5
76,175,4
294,508,4
294,930,3
303,426,3
6,492,5
181,240,1
310,116,5
313,22,3
13,121,5
215,164,3
280,127,5
48,680,3
151,929,3
90,690,4
181,1010,1
276,845,4
81,280,4
200,478,5
13,308,3
56,184,4
156,641,5
269,1165,1
160,430,5
237,191,4
290,132,3
145,764,2
277,1011,3
272,1101,5
116,255,3
184,86,5
285,151,5
271,187,5
94,211,5
246,425,5
115,8,5
129,331,2
263,416,5
200,291,3
145,22,5
234,571,2
195,328,4
282,288,4
23,381,4
252,300,4
151,372,5
28,79,4
168,1278,3
18,113,5
234,1186,4
150,129,4
161,98,4
70,210,4
204,216,4
43,204,4
222,1042,4
92,790,3
294,282,3
214,693,3
255,472,1
66,7,3
6,478,4
101,222,3
297,588,4
130,901,1
90,245,3
181,1094,1
201,51,2
194,647,4
59,387,3
1,227,4
116,751,3
110,578,3
38,679,5
279,227,4
316,98,5
25,25,5
168,274,4
287,294,5
87,9,4
13,66,3
262,386,3
222,1044,4
279,254,3
42,685,4
49,625,3
313,99,4
130,542,3
249,255,3
195,300,3
118,475,5
142,82,4
119,718,5
99,50,5
306,14,5
92,709,2
30,539,3
262,821,3
311,716,4
16,56,5
293,132,4
13,59,4
240,313,5
291,7,5
31,484,5
109,588,4
246,1218,3
24,367,2
92,115,3
308,741,4
214,1129,4
269,674,2
224,191,4
215,423,5
184,36,3
188,218,5
194,205,3
198,7,4
189,197,5
5,102,3
276,773,3
13,150,5
293,39,3
256,25,5
312,494,5
207,192,3
307,687,1
189,634,3
262,121,3
311,419,3
19,655,3
79,100,5
189,751,4
201,919,3
214,42,5
59,148,3
13,354,2
82,14,4
305,50,5
201,69,2
116,1216,3
151,317,5
90,553,2
116,271,4
291,1139,3
62,111,3
307,1022,4
286,154,4
291,501,4
276,157,5
250,404,4
234,808,2
289,282,3
87,1079,2
193,790,3
209,906,2
95,172,4
94,470,4
277,282,4
303,1286,4
210,357,5
185,199,4
174,80,1
276,939,3
308,163,4
298,252,4
44,208,4
269,9,4
42,195,5
246,68,5
92,731,4
311,203,5
263,197,4
201,660,3
209,251,5
217,7,4
81,169,4
72,530,4
276,364,3
262,754,3
207,1436,3
256,771,2
311,849,3
181,1383,1
58,100,5
286,1316,5
11,725,3
160,56,5
11,110,3
87,2,4
293,605,3
49,334,4
161,162,2
29,332,4
262,47,2
321,496,4
7,151,4
84,12,5
94,168,5
264,33,3
239,529,5
90,657,5
261,875,5
190,302,5
199,258,4
145,743,1
294,127,5
103,121,3
152,412,2
200,24,2
297,736,4
58,268,5
307,265,3
276,1095,1
223,411,1
92,24,3
137,300,5
164,117,5
276,38,3
21,103,1
189,1005,4
248,475,5
95,1229,2
308,863,3
198,100,1
297,307,4
74,272,5
177,56,5
239,187,5
238,252,3
131,1281,4
270,97,4
159,127,5
92,219,4
318,356,4
232,630,3
319,313,5
293,496,5
21,98,5
151,387,5
230,378,5
201,403,3
303,435,5
151,1006,1
77,195,5
99,742,5
291,1028,3
181,1342,1
206,900,1
83,338,4
223,596,3
293,779,1
267,980,3
207,4,4
313,96,5
279,1376,4
234,1015,2
201,79,4
275,449,3
185,269,5
21,457,1
16,471,3
291,471,4
181,16,1
308,559,4
21,596,3
59,710,3
178,209,4
186,470,5
299,615,4
10,504,5
110,682,4
181,327,3
207,87,4
148,114,5
60,222,4
276,246,4
234,20,4
106,107,4
216,697,4
294,1199,2
67,64,5
170,299,3
230,142,4
275,501,3
57,204,4
201,197,4
184,155,3
68,7,3
316,306,4
280,781,4
64,684,4
12,300,4
90,662,5
42,185,4
181,995,1
258,288,1
305,187,4
184,71,4
94,556,3
174,237,4
158,190,5
201,853,4
275,520,4
109,975,3
73,357,5
83,118,3
64,778,5
244,89,5
293,288,3
125,997,2
321,287,3
145,591,4
52,95,4
145,260,4
208,202,4
141,274,5
82,231,2
107,271,2
244,167,3
15,678,1
286,709,4
167,364,3
228,475,3
43,151,4
268,63,1
271,410,2
307,509,3
287,257,4
290,393,3
276,180,5
72,528,4
224,949,3
221,1059,4
13,451,1
10,340,4
219,882,3
60,604,4
7,127,5
6,143,2
6,275,4
269,82,2
69,300,3
259,959,4
181,1164,3
135,449,3
222,1207,2
5,231,2
286,258,4
303,65,4
13,289,2
262,786,3
234,614,3
1,64,5
325,485,3
312,641,5
296,242,4
291,571,2
294,676,3
69,174,5
121,509,5
7,196,5
318,257,5
59,588,2
310,24,4
303,87,3
91,427,4
275,258,3
97,482,5
174,160,5
268,470,3
188,769,2
94,89,3
99,182,4
175,71,4
326,22,4
181,1001,1
254,418,3
56,235,1
11,190,3
162,181,4
268,52,3
6,294,2
151,969,5
42,684,4
270,466,5
56,797,4
173,286,5
213,12,5
36,883,5
269,729,2
131,100,5
308,298,5
14,709,5
222,29,3
303,1315,3
22,79,4
42,603,4
7,560,3
193,435,4
7,559,5
115,127,5
217,22,5
279,709,4
279,789,4
279,919,3
90,1194,4
303,302,4
299,516,4
56,69,4
92,289,3
13,144,4
181,1348,1
15,932,1
244,155,3
15,127,2
236,313,4
310,536,4
75,409,3
268,264,3
292,195,5
16,191,5
233,99,3
66,249,4
280,204,3
92,1142,4
99,410,5
97,98,4
313,673,4
270,781,5
13,476,2
67,147,3
234,50,4
40,880,3
294,222,4
293,629,3
314,1289,2
131,750,5
296,48,5
57,926,3
280,544,4
123,135,5
109,797,3
59,12,5
3,343,3
310,845,5
4,357,4
298,91,2
314,1518,4
256,413,4
234,618,3
272,127,5
276,406,2
97,50,5
150,121,2
13,97,4
28,98,5
259,269,3
82,596,3
28,173,3
94,455,3
276,384,3
313,191,5
207,531,4
214,151,5
44,123,4
18,154,4
7,28,5
62,138,1
81,824,3
13,781,3
13,338,1
178,106,2
221,204,4
318,659,4
262,11,4
302,323,2
198,179,4
99,168,5
173,323,5
295,483,5
43,64,5
89,197,5
308,435,4
315,305,5
164,299,4
7,153,5
125,1180,3
70,50,4
62,401,3
43,66,4
151,490,5
293,665,2
194,663,4
311,180,4
82,661,4
291,466,5
60,47,4
15,685,4
320,294,4
106,692,3
287,11,5
181,1320,1
85,647,4
303,748,2
249,124,5
207,827,3
60,616,3
21,184,4
145,183,5
25,228,4
76,92,4
246,406,3
201,292,3
286,133,4
48,174,5
286,7,4
93,15,5
84,528,5
213,471,3
128,418,4
195,496,4
276,843,4
54,268,5
18,58,4
263,921,3
289,849,4
38,465,5
102,300,3
21,590,1
145,13,5
50,253,5
194,530,4
90,631,5
181,1324,1
267,423,3
194,1206,1
99,895,3
312,188,3
145,50,5
213,48,5
316,588,1
85,175,4
124,50,3
193,554,3
268,721,3
102,732,3
201,943,3
246,816,4
172,488,3
43,1057,2
59,287,5
315,651,3
145,299,4
327,191,4
70,584,3
275,176,4
48,259,4
83,413,1
234,485,3
201,587,4
237,494,4
85,133,4
320,399,3
114,175,5
42,121,4
154,302,4
106,660,4
313,71,4
224,43,3
229,315,1
193,827,2
276,789,3
259,750,4
204,172,3
85,98,4
288,127,5
142,243,1
195,387,4
95,174,5
233,482,4
44,530,5
157,405,3
269,923,4
178,148,4
138,121,4
30,82,4
271,11,4
42,456,3
288,196,5
268,42,4
16,144,5
90,603,5
209,408,4
299,238,4
128,140,4
307,173,5
22,791,1
291,159,4
59,855,4
124,11,5
271,1266,2
155,988,2
307,258,5
154,175,5
221,508,4
207,508,4
130,161,4
98,163,3
328,9,4
178,218,3
293,293,4
128,79,4
307,1411,4
195,186,3
327,533,4
206,1394,1
95,143,4
222,298,4
286,151,5
116,262,3
148,495,4
311,495,4
123,847,4
237,528,5
140,301,3
177,79,4
65,202,4
311,181,4
77,168,4
117,405,5
5,423,4
289,7,4
241,294,3
213,690,3
99,508,4
275,523,4
198,651,4
181,1093,1
221,268,5
267,739,4
129,303,3
301,496,5
318,64,4
290,476,3
16,942,4
130,815,3
178,125,4
320,284,4
94,1119,4
293,724,3
233,806,4
198,24,2
222,172,5
276,301,4
70,417,3
201,370,1
128,143,5
92,763,3
144,91,2
63,841,1
323,117,3
176,288,3
99,546,4
326,186,4
112,354,3
121,405,2
293,167,3
276,11,5
62,443,3
106,703,4
230,210,5
109,89,4
326,480,4
77,125,3
256,280,5
74,288,3
1,92,3
16,504,5
60,1020,4
92,947,4
158,1,4
1,228,5
299,1322,3
130,200,5
296,286,5
217,82,5
249,79,5
215,151,5
188,474,4
56,585,3
222,25,3
160,3,3
22,227,4
79,508,3
151,481,3
312,480,5
311,141,4
25,478,5
195,407,2
313,65,2
327,461,3
178,121,5
210,502,3
224,708,2
246,121,4
244,31,4
95,395,3
305,209,5
83,364,1
295,67,4
116,248,3
145,172,5
119,313,5
270,306,5
262,91,3
131,845,4
33,307,3
37,183,4
6,211,5
85,517,5
308,164,4
311,70,4
181,1322,1
17,508,3
174,396,1
181,1364,1
235,511,5
56,194,5
83,1035,4
181,680,1
320,1157,4
189,462,5
313,31,4
60,79,4
1,121,4
222,426,1
157,1132,3
193,368,1
166,322,5
253,183,5
269,136,4
112,748,3
311,213,4
291,627,4
221,468,3
318,204,5
87,996,3
279,88,1
207,14,4
279,163,5
121,86,5
92,781,3
291,572,3
102,264,2
1,114,5
255,879,3
101,282,3
291,99,4
144,778,4
1,74,1
279,1493,1
22,173,5
1,134,4
330,11,4
291,741,5
6,180,4
215,194,4
291,273,3
307,1110,4
130,876,4
13,305,4
159,259,4
286,158,3
87,1183,3
91,172,4
296,272,5
125,483,4
328,200,4
237,100,5
150,13,4
301,610,3
151,25,4
271,8,4
87,303,3
113,294,4
328,905,3
110,301,2
288,742,3
111,887,3
239,605,4
109,5,3
291,824,4
22,687,1
312,1299,4
271,50,5
308,802,3
195,14,4
174,41,1
109,159,4
233,357,5
264,475,5
205,678,1
275,1066,3
78,1160,5
130,568,5
13,273,3
143,331,5
297,216,4
198,1169,4
64,187,5
307,21,4
85,660,4
311,348,4
1,186,4
276,401,3
74,285,3
297,202,3
82,216,4
280,145,3
181,20,1
325,402,2
207,133,4
87,135,5
286,83,5
87,157,3
96,91,5
232,1,4
315,98,4
305,679,3
61,690,2
92,1016,2
168,255,1
82,504,4
2,314,1
89,732,5
38,216,5
24,153,4
1,221,5
222,715,2
43,114,5
331,486,3
201,452,1
158,271,4
314,90,2
313,245,3
102,576,2
211,526,4
268,425,4
10,463,4
69,258,4
210,96,4
213,144,5
58,272,5
291,385,4
11,714,4
329,100,4
308,481,4
54,820,3
10,655,5
145,993,3
18,607,3
226,180,4
293,156,4
83,476,3
286,1039,5
42,48,5
208,204,3
232,275,2
271,242,4
125,97,3
38,1030,5
194,520,5
194,1183,2
148,172,5
269,961,5
267,546,3
22,456,1
59,931,2
188,159,3
244,676,4
164,597,4
11,230,4
6,297,3
85,269,3
269,640,5
138,493,4
92,928,3
62,559,3
198,549,3
59,121,4
24,427,5
201,475,4
110,245,3
139,268,4
291,1471,3
221,172,5
323,9,4
124,616,4
185,528,4
167,404,3
151,529,5
264,401,5
144,64,5
125,785,3
200,72,4
158,483,5
7,268,3
59,549,4
239,47,2
42,102,5
145,682,3
57,864,3
202,172,3
52,1009,5
201,2,2
190,751,4
162,685,3
102,391,2
6,500,4
328,271,3
116,750,4
221,318,5
128,283,5
94,467,4
221,1218,3
62,28,3
76,811,4
224,22,5
244,100,4
327,805,4
83,254,2
62,157,3
208,514,4
326,50,5
73,12,5
90,354,3
291,816,3
22,399,4
267,147,3
87,70,5
268,121,2
239,317,5
269,922,5
207,468,4
239,183,5
301,58,4
321,631,4
292,324,3
72,129,4
256,642,4
215,22,3
101,369,2
328,521,4
201,23,4
197,570,4
90,489,5
98,517,5
163,288,3
1,31,3
333,894,3
311,22,4
22,96,5
279,1017,3
320,99,4
235,85,4
234,229,4
328,591,3
328,754,4
258,323,4
3,323,2
200,265,5
214,179,5
155,321,4
