userid,itemid,rating
196,242,5
186,302,5
22,377,3
244,51,4
166,346,4
298,474,4
115,265,3
253,465,3
305,451,3
6,86,3
62,257,1
286,1014,5
200,222,5
210,40,4
224,29,3
303,785,3
122,387,4
194,274,4
291,1042,4
234,1184,3
119,392,3
167,486,5
299,144,3
291,118,2
308,1,4
95,546,3
38,95,4
102,768,4
63,277,4
160,234,2
50,246,5
301,98,4
225,193,5
290,88,5
97,194,4
157,274,4
181,1081,3
278,603,4
276,796,1
7,32,5
10,16,3
284,304,3
201,979,5
276,564,4
287,327,3
246,201,1
242,1137,3
249,241,5
99,4,5
178,332,2
251,100,5
81,432,3
260,322,3
25,181,4
59,196,5
72,679,1
87,384,3
290,143,2
42,423,1
292,515,3
115,20,4
20,288,3
201,219,4
13,526,5
246,919,3
138,26,3
167,232,3
60,427,4
57,304,3
223,274,5
189,512,5
243,15,5
92,1049,3
246,416,3
194,165,4
241,690,2
178,248,3
254,1444,3
293,5,2
127,229,2
225,237,4
299,229,5
225,480,3
276,54,3
291,144,3
222,366,5
267,518,4
42,403,4
11,111,4
95,625,2
8,338,4
162,25,3
87,1016,3
279,154,3
145,275,3
119,1153,1
62,498,2
62,382,5
28,209,4
135,23,5
32,294,5
90,382,1
286,208,4
293,685,2
216,144,5
166,328,2
250,496,1
271,132,5
160,174,4
265,118,1
198,498,5
42,96,2
168,151,3
110,307,5
58,144,3
90,648,2
271,346,1
62,21,5
279,832,3
237,514,5
94,789,4
128,485,3
298,317,4
44,195,5
264,200,2
194,385,3
72,195,4
222,750,2
250,264,3
41,265,5
224,245,4
82,135,5
262,1147,4
293,471,5
216,658,4
250,140,1
59,23,3
286,379,5
244,815,3
7,479,5
174,368,1
87,274,2
194,1211,3
82,1134,5
13,836,5
13,272,3
244,756,4
305,427,5
95,787,1
43,14,5
299,955,4
57,419,4
84,405,4
269,504,5
299,111,5
194,466,5
160,135,5
99,268,3
10,486,3
259,117,2
85,427,5
303,919,5
213,273,5
121,514,3
90,98,4
49,559,4
42,794,5
155,323,3
68,117,3
172,177,5
19,4,4
268,231,5
5,2,4
305,117,1
44,294,4
43,137,4
279,1336,4
80,466,1
254,164,5
298,281,5
279,1240,5
66,298,4
18,443,4
268,1035,4
99,79,3
13,98,1
26,258,1
7,455,2
222,755,3
200,673,3
119,328,5
213,172,5
276,322,4
94,1217,4
130,379,3
38,328,2
160,719,3
293,1267,2
26,930,4
130,216,2
92,1079,4
256,452,3
1,61,5
72,48,4
56,755,4
13,360,5
15,405,2
92,77,4
207,476,5
292,174,3
232,483,4
251,748,2
224,26,5
181,220,5
259,255,4
305,471,3
52,280,2
161,202,3
148,408,3
125,235,4
97,228,2
58,1098,3
83,234,4
90,347,2
272,178,2
194,181,4
125,478,4
110,688,5
299,14,3
151,10,5
269,127,1
6,14,5
54,106,5
303,69,5
16,944,4
301,790,4
276,1091,4
305,214,3
194,1028,2
91,323,4
87,554,3
294,109,3
286,171,3
200,318,5
229,328,5
178,568,4
303,842,2
62,65,4
207,591,3
92,172,5
301,401,4
36,339,2
70,746,3
63,242,4
28,201,2
279,68,5
250,7,4
14,98,4
299,1018,4
194,54,2
303,815,3
119,237,2
295,218,5
268,930,5
268,2,4
66,258,4
233,202,4
83,623,2
214,334,4
192,476,4
100,344,1
268,145,3
301,56,3
307,89,1
234,141,3
83,576,2
181,264,5
297,133,5
38,153,2
7,382,4
264,813,3
181,872,2
201,146,5
85,507,4
269,367,2
59,468,4
286,143,3
193,96,3
113,595,5
292,11,3
130,1014,4
275,98,4
189,520,5
